SITE_NAME,STREET,LOCALITY,TOWN,COUNTY,POSTCODE,PARISH
WIDECOMBE IN THE MOOR PRIMARY SCHOOL-MAIN SCHOOL SITE,,WIDECOMBE,NEWTON ABBOT,DEVON,TQ137TB,Widecombe in the Moor CP
WIDECOMBE IN THE MOOR PRIMARY SCHOOL-PLAYING FIELD,,WIDECOMBE,NEWTON ABBOT,DEVON,TQ137TB,Widecombe in the Moor CP
BRADLEY BARTON PRIMARY SCHOOL & NURSERY UNIT,OGWELL MILL ROAD,BRADLEY VALLEY,NEWTON ABBOT,DEVON,TQ121PR,Newton Abbot CP
BERE ALSTON PRIMARY SCHOOL,,BERE ALSTON,YELVERTON,DEVON,PL207AU,Bere Ferrers CP
BOASLEY CROSS COMMUNITY PRIMARY SCHOOL,,BRATTON CLOVELLY,OKEHAMPTON,DEVON,EX204JH,Sourton CP
BRIDESTOWE PRIMARY SCHOOL,,BRIDESTOWE,OKEHAMPTON,DEVON,EX204EL,Bridestowe CP
ERMINGTON PRIMARY SCHOOL,,ERMINGTON,IVYBRIDGE,DEVON,PL219NH,Ermington CP
GULWORTHY PRIMARY SCHOOL-MAIN SCHOOL SITE,,GULWORTHY,TAVISTOCK,DEVON,PL198JA,Gulworthy CP
GULWORTHY PRIMARY SCHOOL-PLAYING FIELD & CAR PARK,,GULWORTHY,TAVISTOCK,DEVON,PL198JA,Gulworthy CP
HATHERLEIGH COMMUNITY PRIMARY SCHOOL,SOUTH STREET,HATHERLEIGH,OKEHAMPTON,DEVON,EX203JB,Hatherleigh CP
HIGHAMPTON COMMUNITY PRIMARY SCHOOL,,HIGHAMPTON,BEAWORTHY,DEVON,EX215LE,Highampton CP
HOLBETON SCHOOL-MAIN SCHOOL SITE,,HOLBETON,PLYMOUTH,DEVON,PL81LT,Holbeton CP
HOLBETON SCHOOL-VILLAGE HALL,,HOLBETON,PLYMOUTH,DEVON,PL81LT,Holbeton CP
HOLBETON SCHOOL-BRENT HILL SPORTS FIELD,,HOLBETON,PLYMOUTH,DEVON,PL81LT,Holbeton CP
THE ERME PRIMARY SCHOOL,STATION ROAD,,IVYBRIDGE,DEVON,PL210AJ,Ivybridge CP
MANOR PRIMARY SCHOOL,MANOR WAY,,IVYBRIDGE,DEVON,PL219BG,Ivybridge CP
LIFTON COMMUNITY PRIMARY,NORTH ROAD,,LIFTON,DEVON,PL160EH,Lifton CP
LYDFORD PRIMARY SCHOOL,,LYDFORD,OKEHAMPTON,DEVON,EX204AU,Lydford CP
MILTON ABBOT SCHOOL,,MILTON ABBOT,TAVISTOCK,DEVON,PL190PS,Milton Abbot CP
NORTH TAWTON COMMUNITY PRIMARY SCHOOL,EXETER STREET,,NORTH TAWTON,DEVON,EX202HB,North Tawton CP
PRINCETOWN PRIMARY,TAVISTOCK ROAD,PRINCETOWN,YELVERTON,DEVON,PL206QE,Dartmoor Forest CP
SHAUGH PRIOR PRIMARY SCHOOL,,SHAUGH PRIOR,PLYMOUTH,DEVON,PL75HA,Shaugh Prior CP
SOUTH TAWTON PRIMARY SCHOOL-MAIN SCHOOL SITE,TAWTON LANE,SOUTH ZEAL,OKEHAMPTON,DEVON,EX202LG,South Tawton CP
SOUTH TAWTON PRIMARY SCHOOL-PARK MEADOW PLAYING FIELD,TAWTON LANE,SOUTH ZEAL,OKEHAMPTON,DEVON,EX202LG,South Tawton CP
SOUTH TAWTON PRIMARY SCHOOL-VILLAGE HALL,TAWTON LANE,SOUTH ZEAL,OKEHAMPTON,DEVON,EX202LG,South Tawton CP
MARY TAVY AND BRENTOR COMMUNITY PRIMARY SCHOOL-MAIN SCHOOL SITE,,MARY TAVY,TAVISTOCK,DEVON,PL199PR,Mary Tavy CP
MARY TAVY AND BRENTOR COMMUNITY PRIMARY SCHOOL-NEW SCHOOL SITE (BIS 2891),,MARY TAVY,TAVISTOCK,DEVON,PL199PR,Mary Tavy CP
WEMBURY PRIMARY SCHOOL,KNIGHTON ROAD,WEMBURY,PLYMOUTH,DEVON,PL90EB,Wembury CP
STOWFORD PRIMARY SCHOOL,EXETER ROAD,,IVYBRIDGE,DEVON,PL210BG,Ivybridge CP
UGBOROUGH PRIMARY SCHOOL-MAIN SCHOOL SITE,,UGBOROUGH,IVYBRIDGE,DEVON,PL210NJ,Ugborough CP
UGBOROUGH PRIMARY SCHOOL-VILLAGE HALL,,UGBOROUGH,IVYBRIDGE,DEVON,PL210NJ,Ugborough CP
BICKLEIGH ON EXE CHURCH OF ENGLAND PRIMARY SCHOOL,BELL MEADOW,BICKLEIGH,TIVERTON,DEVON,EX168RE,Bickleigh (Mid Devon) CP
BRAMPFORD SPEKE CHURCH OF ENGLAND PRIMARY SCHOOL,,BRAMPFORD SPEKE,EXETER,DEVON,EX55HE,Brampford Speke CP
BRANSCOMBE CHURCH OF ENGLAND PRIMARY SCHOOL-MAIN SCHOOL SITE,,BRANSCOMBE,SEATON,DEVON,EX123DA,Branscombe CP
BRANSCOMBE CHURCH OF ENGLAND PRIMARY SCHOOL-VILLAGE HALL,,BRANSCOMBE,SEATON,DEVON,EX123DA,Branscombe CP
BROADHEMBURY CHURCH OF ENGLAND PRIMARY-MAIN SCHOOL SITE,,BROADHEMBURY,HONITON,DEVON,EX143ND,Broadhembury CP
BROADHEMBURY CHURCH OF ENGLAND PRIMARY-WOOD LAND PLAYING FIELD,,BROADHEMBURY,HONITON,DEVON,EX143ND,Broadhembury CP
BROADHEMBURY CHURCH OF ENGLAND PRIMARY - ADJACENT PLAYING FIELD,,BROADHEMBURY,HONITON,DEVON,EX143ND,
BURLESCOMBE CHURCH OF ENGLAND PRIMARY SCHOOL-MAIN SCHOOL SITE,,BURLESCOMBE,TIVERTON,DEVON,EX167JH,Burlescombe CP
BURLESCOMBE CHURCH OF ENGLAND PRIMARY SCHOOL-PARISH GROUND BRAY CLOSE,,BURLESCOMBE,TIVERTON,DEVON,EX167JH,Burlescombe CP
ST LEONARDS C OF E PRIMARY SCHOOL,ST LEONARDS ROAD,,EXETER,DEVON,EX24NQ,Exeter
ST DAVIDS CHURCH OF ENGLAND PRIMARY SCHOOL EXETER,DINHAM ROAD,,EXETER,DEVON,EX44EE,Exeter
LITTLEHAM CHURCH OF ENGLAND PRIMARY SCHOOL,LITTLEDOWN CLOSE,LITTLEHAM,EXMOUTH,DEVON,EX82QY,Exmouth CP
WITHYCOMBE RALEIGH CHURCH OF ENGLAND PRIMARY SCHOOL,WITHYCOMBE VILLAGE ROAD,,EXMOUTH,DEVON,EX83BA,Exmouth CP
HAWKCHURCH CHURCH OF ENGLAND SCHOOL,,HAWKCHURCH,AXMINSTER,DEVON,EX135XD,Hawkchurch CP
KENTISBEARE CHURCH OF ENGLAND PRIMARY SCHOOL,FORE STREET,KENTISBEARE,CULLOMPTON,DEVON,EX152AD,Kentisbeare CP
LYMPSTONE CHURCH OF ENGLAND PRIMARY SCHOOL-MAIN SCHOOL SITE,SCHOOL HILL,LYMPSTONE,EXMOUTH,DEVON,EX85JY,Lympstone CP
LYMPSTONE CHURCH OF ENGLAND PRIMARY SCHOOL-VILLAGE HALL,SCHOOL HILL,LYMPSTONE,EXMOUTH,DEVON,EX85JY,Lympstone CP
OFFWELL CHURCH OF ENGLAND PRIMARY SCHOOL,,OFFWELL,HONITON,DEVON,EX149SA,Offwell CP
PAYHEMBURY CHURCH OF ENGLAND PRIMARY SCHOOL-MAIN SCHOOL SITE,,PAYHEMBURY,HONITON,DEVON,EX143HT,Payhembury CP
PAYHEMBURY CHURCH OF ENGLAND PRIMARY SCHOOL-PLAYING FIELD SITE,,PAYHEMBURY,HONITON,DEVON,EX143HT,Payhembury CP
PAYHEMBURY CHURCH OF ENGLAND PRIMARY SCHOOL-VILLAGE HALL SITE,,PAYHEMBURY,HONITON,DEVON,EX143HT,
PLYMTREE CHURCH OF ENGLAND PRIMARY SCHOOL-MAIN SCHOOL SITE,,PLYMTREE,CULLOMPTON,DEVON,EX152JU,Plymtree CP
PLYMTREE CHURCH OF ENGLAND PRIMARY SCHOOL-PARISH PLAYING FIELD,,PLYMTREE,CULLOMPTON,DEVON,EX152JU,Plymtree CP
SAMPFORD PEVERELL CHURCH OF ENGLAND PRIMARY SCHOOL,,SAMPFORD PEVERELL,TIVERTON,DEVON,EX167BR,Sampford Peverell CP
SIDBURY CHURCH OF ENGLAND PRIMARY SCHOOL,CHURCH STREET,SIDBURY,SIDMOUTH,DEVON,EX100SB,Sidmouth CP
SILVERTON CHURCH OF ENGLAND PRIMARY SCHOOL,COACH ROAD,SILVERTON,EXETER,DEVON,EX54JY,Silverton CP
STOCKLAND CHURCH OF ENGLAND PRIMARY SCHOOL,,STOCKLAND,HONITON,DEVON,EX149EF,Stockland CP
STOKE CANON CHURCH OF ENGLAND PRIMARY SCHOOL-MAIN SCHOOL SITE,,STOKE CANON,EXETER,DEVON,EX54AS,Stoke Canon CP
STOKE CANON CHURCH OF ENGLAND PRIMARY SCHOOL-RIVER CLOSE DETACHED PLAYING FIELD,,STOKE CANON,EXETER,DEVON,EX54AS,Stoke Canon CP
THORVERTON CHURCH OF ENGLAND PRIMARY SCHOOL,SCHOOL LANE,THORVERTON,EXETER,DEVON,EX55NR,Thorverton CP
UPLOWMAN CHURCH OF ENGLAND PRIMARY SCHOOL,VALLEY VIEW,"WESTLEIGH, UPLOWMAN",TIVERTON,DEVON,EX167DR,Uplowman CP
BERRYNARBOR CHURCH OF ENGLAND PRIMARY SCHOOL-MAIN SCHOOL SITE,,BERRYNARBOR,ILFRACOMBE,DEVON,EX349SE,Berrynarbor CP
BERRYNARBOR CHURCH OF ENGLAND PRIMARY SCHOOL-BERRYNARBOR PARISH HALL SITE,,BERRYNARBOR,ILFRACOMBE,DEVON,EX349SE,Berrynarbor CP
BERRYNARBOR CHURCH OF ENGLAND PRIMARY SCHOOL-PLAYGROUND SITE,,BERRYNARBOR,ILFRACOMBE,DEVON,EX349SE,Berrynarbor CP
BERRYNARBOR CHURCH OF ENGLAND PRIMARY SCHOOL-RECREATION FIELD,,BERRYNARBOR,ILFRACOMBE,DEVON,EX349SE,Berrynarbor CP
BLACK TORRINGTON CHURCH OF ENGLAND PRIMARY SCHOOL-MAIN SCHOOL SITE,,BLACK TORRINGTON,BEAWORTHY,DEVON,EX215PU,Black Torrington CP
BLACK TORRINGTON CHURCH OF ENGLAND PRIMARY SCHOOL-PLAYING FIELD,,BLACK TORRINGTON,BEAWORTHY,DEVON,EX215PU,Black Torrington CP
BRIDGERULE CHURCH OF ENGLAND PRIMARY SCHOOL,,BRIDGERULE,HOLSWORTHY,DEVON,EX227EN,Bridgerule CP
BURRINGTON CHURCH OF ENGLAND PRIMARY SCHOOL-MAIN SCHOOL SITE,,BURRINGTON,UMBERLEIGH,DEVON,EX379JG,Burrington CP
BURRINGTON CHURCH OF ENGLAND PRIMARY SCHOOL-PLAYING FIELD,,BURRINGTON,UMBERLEIGH,DEVON,EX379JG,Burrington CP
GEORGEHAM C of E (VC) PRIMARY SCHOOL,,GEORGEHAM,BRAUNTON,DEVON,EX331JT,Georgeham CP
GOODLEIGH CHURCH OF ENGLAND PRIMARY SCHOOL-MAIN SCHOOL SITE,,GOODLEIGH,BARNSTAPLE,DEVON,EX327NR,Goodleigh CP
GOODLEIGH CHURCH OF ENGLAND PRIMARY SCHOOL-TEMP CLASSROOM SITE,,GOODLEIGH,BARNSTAPLE,DEVON,EX327NR,Goodleigh CP
GOODLEIGH CHURCH OF ENGLAND PRIMARY SCHOOL-DETACHED PLAYING FIELD,,GOODLEIGH,BARNSTAPLE,DEVON,EX327NR,Goodleigh CP
HIGH BICKINGTON CHURCH OF ENGLAND PRIMARY SCHOOL-MAIN SCHOOL SITE,,HIGH BICKINGTON,UMBERLEIGH,DEVON,EX379AY,High Bickington CP
HIGH BICKINGTON CHURCH OF ENGLAND PRIMARY SCHOOL-PLAYING FIELD,,HIGH BICKINGTON,UMBERLEIGH,DEVON,EX379AY,High Bickington CP
HOLYWELL CHURCH OF ENGLAND PRIMARY SCHOOL-MAIN SCHOOL SITE,,TAWSTOCK,BARNSTAPLE,DEVON,EX313HZ,Tawstock CP
HOLYWELL CHURCH OF ENGLAND PRIMARY SCHOOL-LEASED PLAYING FIELD,,TAWSTOCK,BARNSTAPLE,DEVON,EX313HZ,Tawstock CP
ILFRACOMBE CHURCH OF ENGLAND JUNIOR SCHOOL,PRINCESS AVENUE,,ILFRACOMBE,DEVON,EX349LW,Ilfracombe CP
PARRACOMBE CHURCH OF ENGLAND PRIMARY SCHOOL,,PARRACOMBE,BARNSTAPLE,DEVON,EX314QJ,Parracombe CP
PYWORTHY CHURCH OF ENGLAND PRIMARY SCHOOL,,PYWORTHY,HOLSWORTHY,DEVON,EX226ST,Pyworthy CP
WITHERIDGE CHURCH OF ENGLAND PRIMARY SCHOOL,FORE STREET,WITHERIDGE,TIVERTON,DEVON,EX168AH,Witheridge CP
ST MARYS CHURCH OF ENGLAND PRIMARY SCHOOL (BIDEFORD),CHANTERS ROAD,,BIDEFORD,DEVON,EX392QN,Northam CP
ASHLEIGH C OF E (VC) PRIMARY SCHOOL,BEVAN ROAD,,BARNSTAPLE,DEVON,EX328LJ,Barnstaple CP
AVETON GIFFORD C OF E PRIMARY SCHOOL-MAIN SCHOOL SITE,FORE STREET,AVETON GIFFORD,KINGSBRIDGE,DEVON,TQ74LB,Aveton Gifford CP
BERRY POMEROY PAROCHIAL CHURCH OF ENGLAND PRIMARY SCHOOL-MAIN SCHOOL SITE,,BERRY POMEROY,TOTNES,DEVON,TQ96LH,Berry Pomeroy CP
BERRY POMEROY PAROCHIAL CHURCH OF ENGLAND PRIMARY SCHOOL-VILLAGE HALL,,BERRY POMEROY,TOTNES,DEVON,TQ96LH,Berry Pomeroy CP
BLACKPOOL CHURCH OF ENGLAND PRIMARY SCHOOL-MAIN SCHOOL SITE,,LIVERTON,NEWTON ABBOT,DEVON,TQ126JB,Ilsington CP
BLACKPOOL CHURCH OF ENGLAND PRIMARY SCHOOL-SPORTS FIELD OVER ROAD,,LIVERTON,NEWTON ABBOT,DEVON,TQ126JB,Ilsington CP
CHARLETON CHURCH OF ENGLAND PRIMARY SCHOOL-MAIN SCHOOL SITE,,WEST CHARLETON,KINGSBRIDGE,DEVON,TQ72AL,Charleton CP
CHARLETON CHURCH OF ENGLAND PRIMARY SCHOOL-PLAYING FIELD,,WEST CHARLETON,KINGSBRIDGE,DEVON,TQ72AL,Charleton CP
CHARLETON CHURCH OF ENGLAND PRIMARY SCHOOL-CROFT FARM PLAYING FIELD,,WEST CHARLETON,KINGSBRIDGE,DEVON,TQ72AL,Charleton CP
CHARLETON CHURCH OF ENGLAND PRIMARY SCHOOL-MARSH LANE PLAYING FIELD,,WEST CHARLETON,KINGSBRIDGE,DEVON,TQ72AL,
CHUDLEIGH KNIGHTON CHURCH OF ENGLAND PRIMARY SCHOOL-MAIN SCHOOL SITE,,CHUDLEIGH KNIGHTON,NEWTON ABBOT,DEVON,TQ130EU,Hennock CP
CHUDLEIGH KNIGHTON CHURCH OF ENGLAND PRIMARY SCHOOL -PLAYING FIELD OPPOSITE PLAYGROUND,,CHUDLEIGH KNIGHTON,NEWTON ABBOT,DEVON,TQ130EU,Hennock CP
DIPTFORD PAROCHIAL CHURCH OF ENGLAND PRIMARY SCHOOL-MAIN SCHOOL SITE,,DIPTFORD,TOTNES,DEVON,TQ97NY,Diptford CP
DIPTFORD PAROCHIAL CHURCH OF ENGLAND PRIMARY SCHOOL-PARISH HALL,,DIPTFORD,TOTNES,DEVON,TQ97NY,Diptford CP
ILSINGTON CHURCH OF ENGLAND PRIMARY SCHOOL-MAIN SCHOOL SITE,,ILSINGTON,NEWTON ABBOT,DEVON,TQ139RE,Ilsington CP
ILSINGTON CHURCH OF ENGLAND PRIMARY SCHOOL-PARISH FIELD,,ILSINGTON,NEWTON ABBOT,DEVON,TQ139RE,Ilsington CP
KENN CHURCH OF ENGLAND PRIMARY SCHOOL,,KENNFORD,EXETER,DEVON,EX67TX,Kenn CP
KINGSKERSWELL CHURCH OF ENGLAND VC PRIMARY SCHOOL,COFFINSWELL LANE,,KINGSKERSWELL,DEVON,TQ125HN,Kingskerswell CP
ST MICHAELS CHURCH OF ENGLAND PRIMARY SCHOOL KINGSTEIGNTON,CHURCH STREET,KINGSTEIGNTON,NEWTON ABBOT,DEVON,TQ123BQ,Kingsteignton CP
MALBOROUGH WITH SOUTH HUISH C OF E PRIMARY SCHOOL,HIGHER TOWN,MALBOROUGH,KINGSBRIDGE,DEVON,TQ73RN,Malborough CP
BEARNES VOLUNTARY PRIMARY SCHOOL-MAIN SCHOOL SITE,QUEEN STREET,,NEWTON ABBOT,DEVON,TQ122AU,Newton Abbot CP
BEARNES VOLUNTARY PRIMARY SCHOOL-ST.JOSEPHS PARISH HALL,QUEEN STREET,,NEWTON ABBOT,DEVON,TQ122AU,Newton Abbot CP
WEST ALVINGTON CHURCH OF ENGLAND PRIMARY SCHOOL-MAIN SCHOOL SITE,,WEST ALVINGTON,KINGSBRIDGE,DEVON,TQ73PP,West Alvington CP
WEST ALVINGTON CHURCH OF ENGLAND PRIMARY SCHOOL-PLAYGROUND,,WEST ALVINGTON,KINGSBRIDGE,DEVON,TQ73PP,West Alvington CP
WEST ALVINGTON CHURCH OF ENGLAND PRIMARY SCHOOL-VILLAGE HALL,,WEST ALVINGTON,KINGSBRIDGE,DEVON,TQ73PP,West Alvington CP
SALCOMBE CHURCH OF ENGLAND PRIMARY SCHOOL,ONSLOW ROAD,,SALCOMBE,DEVON,TQ88AG,Salcombe CP
TOTNES ST JOHNS CHURCH OF ENGLAND PRIMARY SCHOOL,PATHFIELDS,BRIDGETOWN,TOTNES,DEVON,TQ95TZ,Totnes CP
CHAGFORD CHURCH OF ENGLAND PRIMARY SCHOOL,,CHAGFORD,NEWTON ABBOT,DEVON,TQ138BZ,Chagford CP
CORNWOOD CHURCH OF ENGLAND PRIMARY SCHOOL,SCHOOL LANE,CORNWOOD,IVYBRIDGE,DEVON,PL219PZ,Cornwood CP
EXBOURNE CHURCH OF ENGLAND PRIMARY SCHOOL-MAIN SCHOOL SITE,,EXBOURNE,OKEHAMPTON,DEVON,EX203SQ,Exbourne CP
EXBOURNE CHURCH OF ENGLAND PRIMARY SCHOOL-PLAYING FIELD,,EXBOURNE,OKEHAMPTON,DEVON,EX203SQ,Exbourne CP
LAMERTON CHURCH OF ENGLAND (VC) PRIMARY SCHOOL-MAIN SCHOOL SITE,,LAMERTON,TAVISTOCK,DEVON,PL198RJ,Lamerton CP
LAMERTON CHURCH OF ENGLAND (VC) PRIMARY SCHOOL - VILLAGE HALL,,LAMERTON,TAVISTOCK,DEVON,PL198RJ,Lamerton CP
LEW TRENCHARD CHURCH OF ENGLAND PRIMARY SCHOOL,,LEWDOWN,OKEHAMPTON,DEVON,EX204DP,Lewtrenchard CP
NORTHLEW AND ASHBURY PAROCHIAL CHURCH OF ENGLAND PRIMARY SCHOOL,,NORTHLEW,OKEHAMPTON,DEVON,EX203PB,Northlew CP
ST RUMONS CHURCH OF ENGLAND INFANTS SCHOOL TAVISTOCK,DOLVIN ROAD,,TAVISTOCK,DEVON,PL199EA,Tavistock CP
AWLISCOMBE CHURCH OF ENGLAND PRIMARY SCHOOL-MAIN SCHOOL SITE,,AWLISCOMBE,HONITON,DEVON,EX143PJ,Awliscombe CP
AWLISCOMBE CHURCH OF ENGLAND PRIMARY SCHOOL-CHURCH HILL PLAYING FIELD,,AWLISCOMBE,HONITON,DEVON,EX143PJ,Awliscombe CP
ST MARYS CATHOLIC PRIMARY SCHOOL AXMINSTER,LYME ROAD,,AXMINSTER,DEVON,EX135BE,Axminster CP
BEER CHURCH OF ENGLAND PRIMARY SCHOOL,MARE LANE,BEER,SEATON,DEVON,EX123NB,Beer CP
ST PETERS CHURCH OF ENGLAND PRIMARY SCHOOL BUDLEIGH SALTERTON,MOOR LANE,,BUDLEIGH SALTERTON,DEVON,EX96QF,Budleigh Salterton CP
ALL SAINTS CHURCH OF ENGLAND PRIMARY SCHOOL-MAIN SCHOOL SITE,,SMALLRIDGE,AXMINSTER,DEVON,EX137LX,All Saints CP
ALL SAINTS CHURCH OF ENGLAND PRIMARY SCHOOL-VILLAGE HALL,,SMALLRIDGE,AXMINSTER,DEVON,EX137LX,All Saints CP
LADY SEAWARDS C OF E PRIMARY SCHOOL CLYST ST GEORGE-MAIN SCHOOL SITE,,CLYST ST GEORGE,EXETER,DEVON,EX30RE,Clyst St. George CP
DRAKES CHURCH OF ENGLAND PRIMARY SCHOOL EAST BUDLEIGH-MAIN SCHOOL SITE,,EAST BUDLEIGH,BUDLEIGH SALTERTON,DEVON,EX97DQ,East Budleigh CP
DRAKES CHURCH OF ENGLAND PRIMARY SCHOOL EAST BUDLEIGH-RECREATION GROUND,,EAST BUDLEIGH,BUDLEIGH SALTERTON,DEVON,EX97DQ,East Budleigh CP
THE BEACON CHURCH OF ENGLAND VOLUNTARY AIDED PRIMARY SCHOOL,BEACON PLACE,,EXMOUTH,DEVON,EX82SR,Exmouth CP
ST JOSEPHS CATHOLIC PRIMARY SCHOOL EXMOUTH,REGENTS GATE,LONG CAUSEWAY,EXMOUTH,DEVON,EX82JP,Exmouth CP
FARWAY CHURCH OF ENGLAND PRIMARY SCHOOL,,FARWAY,COLYTON,DEVON,EX246EQ,Farway CP
FENITON CHURCH OF ENGLAND PRIMARY SCHOOL,STATION ROAD,FENITON,HONITON,DEVON,EX143EA,Feniton CP
WEBBERS CHURCH OF ENGLAND PRIMARY SCHOOL,,HOLCOMBE ROGUS,WELLINGTON,SOMERSET,TA210PE,Holcombe Rogus CP
MORCHARD BISHOP CHURCH OF ENGLAND PRIMARY SCHOOL,CHURCH STREET,MORCHARD BISHOP,CREDITON,DEVON,EX176PJ,Morchard Bishop CP
OTTERTON CHURCH OF ENGLAND PRIMARY SCHOOL-MAIN SCHOOL SITE,,OTTERTON,BUDLEIGH SALTERTON,DEVON,EX97HU,Otterton CP
OTTERTON CHURCH OF ENGLAND PRIMARY SCHOOL-FIELD AT OTTERTON BRIDGE,,OTTERTON,BUDLEIGH SALTERTON,DEVON,EX97HU,Bicton CP
ROCKBEARE CHURCH OF ENGLAND PRIMARY SCHOOL,,ROCKBEARE,EXETER,DEVON,EX52EQ,Rockbeare CP
SIDMOUTH PRIMARY SCHOOL - WOOLBROOK ROAD SITE,WOOLBROOK ROAD,,SIDMOUTH,DEVON,EX109XB,Sidmouth CP
SIDMOUTH PRIMARY SCHOOL - MANSTONE ROAD SITE,MANSTONE AVENUE,,SIDMOUTH,DEVON,EX109TJ,Sidmouth CP
SIDMOUTH PRIMARY SCHOOL - VICARAGE ROAD SITE,VICARAGE ROAD,,SIDMOUTH,DEVON,EX108UG,Sidmouth CP
TIPTON ST JOHN CHURCH OF ENGLAND PRIMARY SCHOOL-MAIN SCHOOL SITE,,TIPTON ST JOHN,SIDMOUTH,DEVON,EX100AG,Ottery St. Mary CP
TIPTON ST JOHN CHURCH OF ENGLAND PRIMARY SCHOOL-PLAYGROUND SITE,,TIPTON ST JOHN,SIDMOUTH,DEVON,EX100AG,Ottery St. Mary CP
TIPTON ST JOHN CHURCH OF ENGLAND PRIMARY SCHOOL-TIPTON ST JOHN PLAYING FIELD,,TIPTON ST JOHN,SIDMOUTH,DEVON,EX100AG,Ottery St. Mary CP
TIPTON ST JOHN CHURCH OF ENGLAND PRIMARY SCHOOL-VILLAGE HALL,,TIPTON ST JOHN,SIDMOUTH,DEVON,EX100AG,Ottery St. Mary CP
MRS ETHELSTONS CHURCH OF ENGLAND PRIMARY SCHOOL,POUND LANE,UPLYME,LYME REGIS,DORSET,DT73TT,Uplyme CP
WOODBURY CHURCH OF ENGLAND PRIMARY SCHOOL,,WOODBURY,EXETER,DEVON,EX51NB,Woodbury CP
WOODBURY SALTERTON CHURCH OF ENGLAND PRIMARY SCHOOL-MAIN SCHOOL SITE,STONY LANE,,WOODBURY SALTERTON,DEVON,EX51PP,Woodbury CP
WOODBURY SALTERTON CHURCH OF ENGLAND PRIMARY SCHOOL-PLAYING FIELD,STONY LANE,,WOODBURY SALTERTON,DEVON,EX51PP,Woodbury CP
WOODBURY SALTERTON CHURCH OF ENGLAND PRIMARY SCHOOL-STONY LANE PLAYING FIELD (Site for pool),STONY LANE,,WOODBURY SALTERTON,DEVON,EX51PP,Woodbury CP
ST JOHNS CATHOLIC PRIMARY SCHOOL TIVERTON,MELBOURNE STREET,,TIVERTON,DEVON,EX165LA,Tiverton CP
PILTON THE BLUECOAT CHURCH OF ENGLAND JUNIOR SCHOOL,ABBEY ROAD,,BARNSTAPLE,DEVON,EX311JU,Barnstaple CP
OUR LADYS CATHOLIC PRIMARY SCHOOL BARNSTAPLE,CHANTERS HILL,,BARNSTAPLE,DEVON,EX328DN,Barnstaple CP
CHITTLEHAMPTON CHURCH OF ENGLAND PRIMARY SCHOOL-MAIN SCHOOL SITE,,CHITTLEHAMPTON,UMBERLEIGH,DEVON,EX379QW,Chittlehampton CP
CHITTLEHAMPTON CHURCH OF ENGLAND PRIMARY SCHOOL-PARISH GROUNDS,,CHITTLEHAMPTON,UMBERLEIGH,DEVON,EX379QW,Chittlehampton CP
DOLTON CHURCH OF ENGLAND PRIMARY SCHOOL-MAIN SCHOOL SITE,THE SQUARE,DOLTON,WINKLEIGH,DEVON,EX198QF,Dolton CP
DOLTON CHURCH OF ENGLAND PRIMARY SCHOOL-CLEAVE HILL PLAYING FIELD,THE SQUARE,DOLTON,WINKLEIGH,DEVON,EX198QF,Dolton CP
LYNTON CHURCH OF ENGLAND PRIMARY SCHOOL,MARKET STREET,,LYNTON,DEVON,EX356AF,Lynton and Lynmouth CP
